cv,jd,satisfied
"1、作为语文助教,跟岗高一的两个班级;准备日常上课用的讲义、阶段测试卷、个性化辅导方案等资料;认真备课,针对学生的情况,自己制作课件主持两次班会活动。2、运营“笔走龙湖”公众号,发布二十余篇原创推文;协助老师开展“草木有本心”、“记忆地图”等五项文艺创作活动,主持举行一项文艺创作赛事,丰富校园文化。3、负责运营管理党委广播台公众号,发布二十余篇原创推文,负责为广播台举办的各类活动进行前、后期宣传,为广播台活动提供策划。4、负责官微的日常运营和维护,以#学在东大##美哉东大##seu分享#等tag发布上千条推送和干货,运营期间官微涨粉20万。",、协助教育产品研发工作，2、负责搜集整理资料，3、负责文案的输出工作。1、心理学和教育学专业优先，2、资料搜集和文案处理能力强，3、踏实负责，沟通协作能力强,1
"1、作为语文助教,跟岗高一的两个班级;准备日常上课用的讲义、阶段测试卷、个性化辅导方案等资料;认真备课,针对学生的情况,自己制作课件主持两次班会活动。2、运营“笔走龙湖”公众号,发布二十余篇原创推文;协助老师开展“草木有本心”、“记忆地图”等五项文艺创作活动,主持举行一项文艺创作赛事,丰富校园文化。3、负责运营管理党委广播台公众号,发布二十余篇原创推文,负责为广播台举办的各类活动进行前、后期宣传,为广播台活动提供策划。4、负责官微的日常运营和维护,以#学在东大##美哉东大##seu分享#等tag发布上千条推送和干货,运营期间官微涨粉20万。",1.主要负责自然科普教育课程资源（幼儿课程资源方向为主）的选题、策划、实施、运营，相关图书的编辑加工。2.对用户需求、市场需求进行调研和分析，不断优化客户体验。3.跟踪课程运营，根据客户反馈进行优化改进。4.协助教材配套资源的完善、教材培训、市场推广。5.协助与编写组及实验区沟通、协调，实验区的维护、培训等工作。2.熟悉幼儿园课程及教育教学，具有2年以上自然科普教育课程相关工作经验优先，可接受优秀应届生。3.熟练运用数据分析，能完成投资回报分析。4.关注用户体验，收集用户意见反馈，持续优化产品。5.具备较强的文字能力、文案撰写能力、口头表达能力和学习能力。6.具有较强的责任感，具有较强的沟通、协调能力。7.具有教材编写、课程开发或自然科普相关教育经验优先。,1
"1、作为语文助教,跟岗高一的两个班级;准备日常上课用的讲义、阶段测试卷、个性化辅导方案等资料;认真备课,针对学生的情况,自己制作课件主持两次班会活动。2、运营“笔走龙湖”公众号,发布二十余篇原创推文;协助老师开展“草木有本心”、“记忆地图”等五项文艺创作活动,主持举行一项文艺创作赛事,丰富校园文化。3、负责运营管理党委广播台公众号,发布二十余篇原创推文,负责为广播台举办的各类活动进行前、后期宣传,为广播台活动提供策划。4、负责官微的日常运营和维护,以#学在东大##美哉东大##seu分享#等tag发布上千条推送和干货,运营期间官微涨粉20万。",协助产品负责人完成以下工作内容1.产品内容设置（课时、定价、优惠等）2.教师管理（教师的招募、培训、分发和日常维护）3.数据记录（每周、月度、季度、年度数据收集和反馈）4.产品对接（进行跨部门和产品的沟通）5.产品宣传（产品内部和市场宣传）1.全日制本科或以上在读学生，专业不限，性别不限2.头脑清晰，逻辑性强，聪明好学，有跨界思维3.对教育行业有热情，对商业创新、项目管理、人力资源等感兴趣,1
"1、作为语文助教,跟岗高一的两个班级;准备日常上课用的讲义、阶段测试卷、个性化辅导方案等资料;认真备课,针对学生的情况,自己制作课件主持两次班会活动。2、运营“笔走龙湖”公众号,发布二十余篇原创推文;协助老师开展“草木有本心”、“记忆地图”等五项文艺创作活动,主持举行一项文艺创作赛事,丰富校园文化。3、负责运营管理党委广播台公众号,发布二十余篇原创推文,负责为广播台举办的各类活动进行前、后期宣传,为广播台活动提供策划。4、负责官微的日常运营和维护,以#学在东大##美哉东大##seu分享#等tag发布上千条推送和干货,运营期间官微涨粉20万。",1.负责网易有道新媒体账号运营，包括微博、微信公众号、小红书2.负责公众号内容选题、策划、撰写3.策划互动类公号内容包括但不限于创意营销等，通过新媒体玩法提高内容影响力、传播度1.播音配音专业学生、有播音配音经历或有教授播音配音经历的优先2.有公众号运营经验的优先3.有较好文字能力、擅长图文内容、有爆款经验优先4.了解新媒体内容传播规律、有网感5.其他希望你有用户思维、自驱力强、执行力强、抗压能力强、结果导向、有责任心、擅长团队协作、热爱学习,1
"Photoshop熟练，HTML5一般，数据分析一般，C/C++一般，MSExcel良好1、主要通过实践电子商务,了解经营模式,以网络零售业为主,并且实现多平台运营,主要借助于互联网开展在线销售活动。进行前期调研,运营淘宝PC店铺,移动端店铺,以及抖音推广,公众号推广等推进项目的实行。2、市场调研,淘宝PC店铺,移动端店铺设计运营,公众号推广,新媒体推广等经历,最终获得校赛三等奖",1、负责深入用户了解其需求，优化用户体验，以及预测产品潜力；2、负责调研、沟通合作部门需求，确定产品定位，明确产品形态，制定产品规划，输出产品文档并驱动相关方落地产品方案。能根据产品上线后的效果发现问题，主动调优产品方向和持续优化。3、与交互和视觉设计师、开发、测试等团队紧密合作，驱动项目实施，达成产品目标。需负责从需求、原型、交互、文档、设计到终测试的全部流程的相关工作，并对质量和进度负责；4、协调跨部门之间的沟通，确保需求按质按量上线，并跟踪产品效果；5、配合产品相关的日常运营工作、产品运营数据分析等。,1
"Photoshop熟练，HTML5一般，数据分析一般，C/C++一般，MSExcel良好1、主要通过实践电子商务,了解经营模式,以网络零售业为主,并且实现多平台运营,主要借助于互联网开展在线销售活动。进行前期调研,运营淘宝PC店铺,移动端店铺,以及抖音推广,公众号推广等推进项目的实行。3、市场调研,淘宝PC店铺,移动端店铺设计运营,公众号推广,新媒体推广等经历,最终获得校赛三等奖",1.售前支持负责售前技术支持工作，包括客户技术交流、客户需求梳理及方案编制、客户培训等；2.产品管理负责公司终端设备与系统的软件部分的用户需求调研、行业分析，制定产品规划，创新系统方案，推进产品市场导入；3.市场调研负责调研分析相关行业政策、标准和市场需求，针对竞品的解决方案及产品定期进行资料汇总与分析；4.市场推广负责配合相关市场活动，如展会、竞标、投标等，推动品牌推广，建立品牌市场声誉，提升公司产品在行业内的知名度。,1
"Photoshop熟练，HTML5一般，数据分析一般，C/C++一般，MSExcel良好1、主要通过实践电子商务,了解经营模式,以网络零售业为主,并且实现多平台运营,主要借助于互联网开展在线销售活动。进行前期调研,运营淘宝PC店铺,移动端店铺,以及抖音推广,公众号推广等推进项目的实行。4、市场调研,淘宝PC店铺,移动端店铺设计运营,公众号推广,新媒体推广等经历,最终获得校赛三等奖",1.数据整理。负责流量数据从上报到处理的全链路数据获取及Excel处理分析；协助完成数据分析报告，Word，PPT文档校对，细节优化等。2.负责跟产品经理和数据研发对接数据需求。3.基于数据及用户反馈，及时做好效果评估，对产品进行持续优化迭代。职位要求1.计算机，数学相关专业或从事过开发工作者优先；2.熟悉埋点体系，流量数据处理者优先；3.良好的语言沟通与表达能力，自我驱动，善于系统性思考，产品设计逻辑性强；4.用户意识强，能够站在用户的视角审视，发现并快速解决问题；,1
"Photoshop熟练，HTML5一般，数据分析一般，C/C++一般，MSExcel良好1、主要通过实践电子商务,了解经营模式,以网络零售业为主,并且实现多平台运营,主要借助于互联网开展在线销售活动。进行前期调研,运营淘宝PC店铺,移动端店铺,以及抖音推广,公众号推广等推进项目的实行。5、市场调研,淘宝PC店铺,移动端店铺设计运营,公众号推广,新媒体推广等经历,最终获得校赛三等奖",1、协助项目负责人及团队成员进行软件产品功能设计的相关工作。2、熟练掌握Office等办公软件；3、具有较强的工作责任心、具有较强的团队精神和抗压能力，在工作上能够服从安排。,1
"善于记录学习情况和与人沟通,自学python并收获颇多,熟练运用excel,word,ppt等办公软件。大一上学期参加过院周精品活动的策划并为工作人员,收获一次经历和友谊;大一下学期报名参加全国大学生英语竞赛,数学竞赛等大型比赛,并获得数学竞赛三等奖。在沃凯科技教育公司担当家教老师,学生成绩提高明显,家长认可度高。大一暑假期间参加移动和联通公司校园代理的实习,并获得上级好评,收获颇多。大二期间在学校勤工助学岗位担当场馆协管,工作经验丰富,并积极参与培训。擅长运营微信公众号并做推送,学习能力强,乐于学习新知识新,乐观开朗,对待工作认真负责,踏实进取,认真完成各项任务,积极解决问题。",协助设计面向大学生的《产品经理》课程。与岗位专家业界产品经理大咖and课程设计专家课程产品经理一起，制作面向大学生的产品经理的课程；担任课程产品经理角色完成教学辅助资料的设计和编写；在课程总监的指导下，完成相关专业课程设计工作；计算机科学与技术、软件工程、数主媒体技术、教育技术等专业同学，且热爱并认真钻研该专业课程的同学优先。做事认真仔细，有耐心，愿意从事文字中心思想提炼、呈现的工作。专注力强、工作高效、以结果导向，目标节奏感强。勤劳、善良、有较强的自我驱动能力和通过教育影响他人的情怀,1
"善于记录学习情况和与人沟通,自学python并收获颇多,熟练运用excel,word,ppt等办公软件。大一上学期参加过院周精品活动的策划并为工作人员,收获一次经历和友谊;大一下学期报名参加全国大学生英语竞赛,数学竞赛等大型比赛,并获得数学竞赛三等奖。在沃凯科技教育公司担当家教老师,学生成绩提高明显,家长认可度高。大一暑假期间参加移动和联通公司校园代理的实习,并获得上级好评,收获颇多。大二期间在学校勤工助学岗位担当场馆协管,工作经验丰富,并积极参与培训。擅长运营微信公众号并做推送,学习能力强,乐于学习新知识新,乐观开朗,对待工作认真负责,踏实进取,认真完成各项任务,积极解决问题。",1、协助教育产品研发工作，2、负责搜集整理资料，3、负责文案的输出工作。1、心理学和教育学专业优先，2、资料搜集和文案处理能力强，3、踏实负责，沟通协作能力强,1
"善于记录学习情况和与人沟通,自学python并收获颇多,熟练运用excel,word,ppt等办公软件。大一上学期参加过院周精品活动的策划并为工作人员,收获一次经历和友谊;大一下学期报名参加全国大学生英语竞赛,数学竞赛等大型比赛,并获得数学竞赛三等奖。在沃凯科技教育公司担当家教老师,学生成绩提高明显,家长认可度高。大一暑假期间参加移动和联通公司校园代理的实习,并获得上级好评,收获颇多。大二期间在学校勤工助学岗位担当场馆协管,工作经验丰富,并积极参与培训。擅长运营微信公众号并做推送,学习能力强,乐于学习新知识新,乐观开朗,对待工作认真负责,踏实进取,认真完成各项任务,积极解决问题。",1、负责收集生涯教育产品线对新媒体传播端的需求以及沟通，执行相关推广以及传播推文的制作；2、维护生涯教育产品线公众号的运营，与用户进行相关互动；3、与生涯教育产品团队一起，共同负责线上线下市场品牌活动的策划以及落地执行；4、完成上级临时交办的其他推广任务。1.微信公众号运营经验，独立完成推文的撰写及编辑；2.熟练使用排版工具，有独立完成专题写作的能力以及需求；3.不拘泥于传统运营思路，有尝试新事物的勇气以及负责任的主人翁心态；,1
"善于记录学习情况和与人沟通,自学python并收获颇多,熟练运用excel,word,ppt等办公软件。大一上学期参加过院周精品活动的策划并为工作人员,收获一次经历和友谊;大一下学期报名参加全国大学生英语竞赛,数学竞赛等大型比赛,并获得数学竞赛三等奖。在沃凯科技教育公司担当家教老师,学生成绩提高明显,家长认可度高。大一暑假期间参加移动和联通公司校园代理的实习,并获得上级好评,收获颇多。大二期间在学校勤工助学岗位担当场馆协管,工作经验丰富,并积极参与培训。擅长运营微信公众号并做推送,学习能力强,乐于学习新知识新,乐观开朗,对待工作认真负责,踏实进取,认真完成各项任务,积极解决问题。",1.推广智慧教育软件及协助制定教育行业整体解决方案；2.负责收集、分析、整理、归档客户需求、竞争对手等市场信息；3.智慧教育方案产品目标客户的锁定、推进以及市场开拓。2.熟悉或热爱教育行业；3.个性积极主动，逻辑性强，具备良好的协调和规划能力；4.能配合公司轮岗培训安排。,1
"善于记录学习情况和与人沟通,自学python并收获颇多,熟练运用excel,word,ppt等办公软件。大一上学期参加过院周精品活动的策划并为工作人员,收获一次经历和友谊;大一下学期报名参加全国大学生英语竞赛,数学竞赛等大型比赛,并获得数学竞赛三等奖。在沃凯科技教育公司担当家教老师,学生成绩提高明显,家长认可度高。大一暑假期间参加移动和联通公司校园代理的实习,并获得上级好评,收获颇多。大二期间在学校勤工助学岗位担当场馆协管,工作经验丰富,并积极参与培训。擅长运营微信公众号并做推送,学习能力强,乐于学习新知识新,乐观开朗,对待工作认真负责,踏实进取,认真完成各项任务,积极解决问题。",1、负责开拓、建立、维护国内外高等教育相关的资源，包括但不限于海内外院校、教育公司、行业资深人士的对接浅谈合作等工作2、把控所负责领域的内容规划和选题，独立完成采编、审稿的工作3、联系外部优秀内容作者，寻找优质教育内容授权来源,1
